"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","f1","f2"
"1","query_1",TRUE,4.59864065110264e-219,11561,2907,2046,0.703818369453044,0.17697431018078,"GO:0005737","GO:CC","cytoplasm",26995,309,0.282831075476915,0.000884315650550093
"2","query_1",TRUE,1.30638782234138e-99,4715,2903,957,0.329658973475715,0.202969247083775,"GO:0044271","GO:BP","cellular nitrogen compound biosynthetic process",26944,11312,0.25124704646889,0.0010132865478005
"3","query_1",TRUE,3.56539840615176e-172,17412,2907,2516,0.865497076023392,0.144498047323685,"GO:0005622","GO:CC","intracellular anatomical structure",26995,237,0.247649982774743,0.000722188806159616
"4","query_1",TRUE,1.17800528910107e-86,5744,2903,1063,0.366172924560799,0.185062674094708,"GO:1901564","GO:BP","organonitrogen compound metabolic process",26944,22098,0.245865618133457,0.000924145719436141
"5","query_1",TRUE,7.94638268917571e-66,6255,2884,1118,0.387656033287101,0.178737010391687,"GO:0036094","GO:MF","small molecule binding",25063,5395,0.244665718349929,0.000892656107029308
"6","query_1",TRUE,8.04747612782524e-128,15836,2907,2292,0.78844169246646,0.144733518565294,"GO:0043229","GO:CC","intracellular organelle",26995,1881,0.244571306621139,0.000723335637677013
"7","query_1",TRUE,2.04316562750886e-94,4105,2907,857,0.294805641554868,0.208769792935445,"GO:0005829","GO:CC","cytosol",26995,380,0.244438106103822,0.00104200419841365
"8","query_1",TRUE,2.82550877070205e-114,14934,2907,2175,0.748194014447884,0.145640819606268,"GO:0043227","GO:CC","membrane-bounded organelle",26995,1879,0.243820413653943,0.000727849896268841
"9","query_1",TRUE,8.86061358328196e-129,16169,2907,2325,0.799793601651187,0.143793679262787,"GO:0043226","GO:CC","organelle",26995,1878,0.243761794925561,0.000718645385902527
"10","query_1",TRUE,2.24483672115106e-64,6018,2884,1082,0.375173370319001,0.179793951478897,"GO:0043167","GO:MF","ion binding",25063,5721,0.243091440125814,0.000897894015312329
"11","query_1",TRUE,1.09574200477678e-82,16378,2884,2335,0.809639389736477,0.142569300280865,"GO:0005488","GO:MF","binding",25063,1480,0.242446267261967,0.000712532826860321
"12","query_1",TRUE,1.33271679699417e-104,14435,2907,2102,0.723082215342277,0.145618288881192,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",26995,1883,0.242417252912006,0.000727725061178932
"13","query_1",TRUE,2.1936626188248e-58,10460,2884,1617,0.560679611650485,0.154588910133843,"GO:0005515","GO:MF","protein binding",25063,1492,0.242356115107914,0.000772412132745975
"14","query_1",TRUE,6.35608043772333e-63,5738,2884,1040,0.360610263522885,0.181247821540606,"GO:0003824","GO:MF","catalytic activity",25063,368,0.241243331013686,0.000905101815251314
"15","query_1",TRUE,3.3509784369863e-71,12727,2903,1834,0.63176024801929,0.144103087923313,"GO:0044238","GO:BP","primary metabolic process",26944,11300,0.234676903390915,0.00072010480391181
"16","query_1",TRUE,1.32563289577758e-72,14364,2903,2009,0.692042714433345,0.139863547758285,"GO:0008152","GO:BP","metabolic process",26944,3159,0.232698210459258,0.000698964582605245
"17","query_1",TRUE,4.05000546482456e-63,12143,2903,1745,0.601102307957286,0.143704191715392,"GO:0006807","GO:BP","nitrogen compound metabolic process",26944,2516,0.231955336966636,0.000718091777067276
"18","query_1",TRUE,5.77619263767225e-67,13942,2903,1948,0.671029968997589,0.139721704203127,"GO:0071704","GO:BP","organic substance metabolic process",26944,17374,0.231285247848026,0.000698245049960545
"19","query_1",TRUE,7.71715761557579e-45,6937,2884,1135,0.393550624133148,0.163615395704195,"GO:0097159","GO:MF","organic cyclic compound binding",25063,9069,0.231137358721108,0.000817227589603425
"20","query_1",TRUE,2.54435638010472e-61,12956,2903,1826,0.629004478126077,0.140938561284347,"GO:0044237","GO:BP","cellular metabolic process",26944,11299,0.230279336654266,0.000704298283051154
"21","query_1",TRUE,3.52006789130041e-65,4698,2903,866,0.298312090940406,0.184333759046403,"GO:0019538","GO:BP","protein metabolic process",26944,6075,0.227864754637548,0.000920247191572406
"22","query_1",TRUE,7.87802459006519e-59,5407,2903,940,0.323802962452635,0.173848714629184,"GO:0080090","GO:BP","regulation of primary metabolic process",26944,18320,0.226233453670277,0.000868078402255526
"23","query_1",TRUE,4.26223046063526e-53,6882,2903,1106,0.380985187736824,0.160709096192967,"GO:0019222","GO:BP","regulation of metabolic process",26944,5789,0.226060296371998,0.000802698984614815
"24","query_1",TRUE,1.44702700181848e-56,5229,2903,910,0.313468825353083,0.174029451137885,"GO:0051171","GO:BP","regulation of nitrogen compound metabolic process",26944,13995,0.223807181505165,0.000868941223765256
"25","query_1",TRUE,5.72835955771013e-48,6425,2903,1032,0.355494316224595,0.160622568093385,"GO:0031323","GO:BP","regulation of cellular metabolic process",26944,7372,0.221269296740995,0.000802206690263877
"26","query_1",TRUE,1.13559814667603e-40,10857,2903,1520,0.523596279710644,0.140001842129502,"GO:0009058","GO:BP","biosynthetic process",26944,3271,0.22093023255814,0.000699541593155354
"27","query_1",TRUE,2.27193414615476e-60,4131,2903,776,0.26730967964175,0.187847978697652,"GO:1901362","GO:BP","organic cyclic compound biosynthetic process",26944,21928,0.220642593119136,0.000937592694509706
"28","query_1",TRUE,3.38287151643227e-47,6358,2903,1021,0.351705132621426,0.160585089650834,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",26944,14938,0.220494547025159,0.000802009973673492
