"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","f1","f2"
"1","query_1",TRUE,4.78727232929476e-62,2819,1210,333,0.275206611570248,0.118126995388436,"GO:0002376","GO:BP","immune system process",26944,913,0.16530156366344,0.000590001860366226
"2","query_1",TRUE,1.6291939312162e-54,1945,1210,256,0.211570247933884,0.131619537275064,"GO:0006955","GO:BP","immune response",26944,2617,0.162282091917591,0.000657075756214628
"3","query_1",TRUE,2.42128184119879e-53,3165,1210,340,0.28099173553719,0.107424960505529,"GO:0051239","GO:BP","regulation of multicellular organismal process",26944,14037,0.155428571428571,0.000536611926989213
"4","query_1",TRUE,7.106715713573e-48,1575,1210,216,0.178512396694215,0.137142857142857,"GO:0002682","GO:BP","regulation of immune system process",26944,1207,0.155116696588869,0.000684399803551908
"5","query_1",TRUE,3.25928635066367e-45,2766,1210,297,0.245454545454545,0.107375271149675,"GO:0007166","GO:BP","cell surface receptor signaling pathway",26944,2761,0.149396378269618,0.000536289849315192
"6","query_1",TRUE,5.20655886579529e-40,1812,1210,220,0.181818181818182,0.121412803532009,"GO:0006952","GO:BP","defense response",26944,2614,0.14559894109861,0.000606052258233358
"7","query_1",TRUE,2.79809319090765e-42,3042,1210,309,0.255371900826446,0.101577909270217,"GO:0009605","GO:BP","response to external stimulus",26944,3570,0.145343367826905,0.000507384996839106
"8","query_1",TRUE,2.80726651817374e-42,3936,1210,365,0.301652892561983,0.0927337398373984,"GO:0006950","GO:BP","response to stress",26944,2613,0.141857753595025,0.000463312621778232
"9","query_1",TRUE,3.00683544909292e-37,2359,1210,253,0.209090909090909,0.107248834251802,"GO:0048584","GO:BP","positive regulation of response to stimulus",26944,13280,0.141776407957411,0.000535557413659889
"10","query_1",TRUE,3.72780053416496e-36,1804,1210,212,0.175206611570248,0.117516629711752,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",26944,14038,0.140676841406768,0.000586599521312655
"11","query_1",TRUE,1.05402192294187e-39,3987,1210,362,0.299173553719008,0.090795084023075,"GO:0048583","GO:BP","regulation of response to stimulus",26944,13279,0.139311141042909,0.000453631242912012
"12","query_1",TRUE,1.61436717807228e-35,2610,1210,266,0.219834710743802,0.101915708812261,"GO:0035556","GO:BP","intracellular signal transduction",26944,9405,0.139267015706806,0.000508988624295596
"13","query_1",TRUE,1.00723405220483e-37,1105,1210,161,0.133057851239669,0.145701357466063,"GO:0002684","GO:BP","positive regulation of immune system process",26944,1209,0.139092872570194,0.000726517903476907
