"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","f1","f2"
"1","query_1",TRUE,4.22610257861013e-123,10460,2880,1800,0.625,0.17208413001912,"GO:0005515","GO:MF","protein binding",25063,1492,0.269865067466267,0.000859828798532559
"2","query_1",TRUE,6.24493313823209e-138,11561,2935,1898,0.646678023850085,0.16417264942479,"GO:0005737","GO:CC","cytoplasm",26995,309,0.261865342163355,0.000820342594603589
"3","query_1",TRUE,7.22597004645728e-84,6589,2893,1161,0.401313515381956,0.17620276217939,"GO:0048518","GO:BP","positive regulation of biological process",26944,13226,0.244885045349083,0.000880047815173283
"4","query_1",TRUE,2.02985718659594e-85,16378,2880,2339,0.812152777777778,0.142813530345586,"GO:0005488","GO:MF","binding",25063,1480,0.242912036556236,0.000713753875448576
"5","query_1",TRUE,1.83336066316095e-117,17412,2935,2434,0.829301533219762,0.139788651504709,"GO:0005622","GO:CC","intracellular anatomical structure",26995,237,0.239249029340935,0.000698648843562506
"6","query_1",TRUE,8.08332387079066e-74,6078,2893,1068,0.369166954718286,0.175715695952616,"GO:0048522","GO:BP","positive regulation of cellular process",26944,13230,0.238100546204437,0.00087753426019466
"7","query_1",TRUE,1.72902742135624e-90,15836,2935,2222,0.757069846678024,0.140313210406668,"GO:0043229","GO:CC","intracellular organelle",26995,1881,0.236748175376911,0.000701241136850111
"8","query_1",TRUE,7.2123481644542e-81,14435,2935,2055,0.700170357751278,0.142362313820575,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",26995,1883,0.236614853195164,0.000711449929763793
"9","query_1",TRUE,3.48434055556231e-78,14934,2935,2098,0.714821124361158,0.140484799785724,"GO:0043227","GO:CC","membrane-bounded organelle",26995,1879,0.234820079467234,0.000702079047474833
"10","query_1",TRUE,3.44386717007819e-86,16169,2935,2243,0.764224872231687,0.138722246273734,"GO:0043226","GO:CC","organelle",26995,1878,0.234819932998325,0.000693296613031225
"11","query_1",TRUE,6.85171611101535e-69,5364,2893,962,0.332526788800553,0.179343773303505,"GO:0051179","GO:BP","localization",26944,14002,0.233014412014049,0.000895511411952471
"12","query_1",TRUE,1.43067647238812e-63,13144,2893,1848,0.638783269961977,0.140596469872185,"GO:0050789","GO:BP","regulation of biological process",26944,13687,0.230467044958533,0.00070259574530372
"13","query_1",TRUE,1.56557512703478e-63,13527,2893,1888,0.652609747666782,0.139572706438974,"GO:0065007","GO:BP","biological regulation",26944,16384,0.229963459196102,0.000697490603918619
"14","query_1",TRUE,3.86888112190002e-57,7612,2893,1205,0.416522640857242,0.158302679978981,"GO:0016043","GO:BP","cellular component organization",26944,5137,0.229414564493099,0.000790762061664347
